"price_eur","car_model","mileage_km","year_first_registration","seller_name","car_link","scrapedate"
"€ 33,480.-","Volkswagen ID.4 Pro Performance 150kW Bidirektionales Laden","7,652 km","12/2022","Meyers Car Lounge","https://www.autoscout24.com/offers/volkswagen-id-4-pro-performance-150kw-bidirektionales-laden-electric-white-03657199-a6a9-4860-b488-785d01ccde06","2024-12-10"
"€ 30,900.-","Volkswagen ID.4 Pro Performance 150 kW*Navi*DAB*ACC*","27,500 km","09/2023","Matthias Unger GmbH","https://www.autoscout24.com/offers/volkswagen-id-4-pro-performance-150-kw-navi-dab-acc-electric-white-ab7d0f73-b8d2-457f-95f8-06fb44f2f688","2024-12-10"
"€ 34,970.-","Volkswagen ID.4 Pro Performance 77 kWh WÄPU TELEMATIK NAV","3,400 km","10/2023","Held & Ströhle GmbH & Co.KG","https://www.autoscout24.com/offers/volkswagen-id-4-pro-performance-77-kwh-waepu-telematik-nav-electric-grey-bf87c4bc-7983-4164-9d1f-6a005f9938a7","2024-12-10"
"€ 27,480.-","Volkswagen ID.4 Pure Performance 125 kW + Navi + LED","19,988 km","08/2022","Autohaus Kurt Niehoff GmbH","https://www.autoscout24.com/offers/volkswagen-id-4-pure-performance-125-kw-navi-led-electric-grey-3222771b-def5-40a2-a2b3-655c633ca350","2024-12-10"
"€ 29,700.-","Volkswagen ID.4 ID.4 Pro","42,500 km","11/2022",NA,"https://www.autoscout24.com/offers/volkswagen-id-4-id-4-pro-electric-grey-fcb0dbee-d344-4a9c-906d-49e5cde12fa6","2024-12-10"
"€ 38,480.-","Volkswagen ID.4 GTX 4Mot*AHK Panodach IQ-LED R-Kam pACC 21*","9,469 km","10/2023","Gerhard Schuster GmbH","https://www.autoscout24.com/offers/volkswagen-id-4-gtx-4mot-ahk-panodach-iq-led-r-kam-pacc-21-electric-black-0632e1da-9cae-4c8b-9587-85e1838d978d","2024-12-10"
"€ 42,980.-","Volkswagen ID.4 Pro Performance Navi AHK LED Heckleuchten S","122 km","01/2024","Volkswagen Automobile Frankfurt GmbH","https://www.autoscout24.com/offers/volkswagen-id-4-pro-performance-navi-ahk-led-heckleuchten-s-electric-white-a19baa46-4c8e-4dc3-97f0-a0799c1fc251","2024-12-10"
"€ 28,990.-","Volkswagen ID.4 Pure Performance","10,010 km","02/2023","Auto Schubert Gmbh & Co. KG","https://www.autoscout24.com/offers/volkswagen-id-4-pure-performance-electric-black-1ba668ca-ae78-4242-b961-cf6f76fc1f59","2024-12-10"
"€ 23,450.-","Volkswagen ID.4 Pure 125kW LED NAVI DAB PDC KLIMA ESP BT BC Klima","26,182 km","09/2021","Autohaus Abicht GmbH","https://www.autoscout24.com/offers/volkswagen-id-4-pure-125kw-led-navi-dab-pdc-klima-esp-bt-bc-klima-electric-grey-d6f0424c-c1be-40a8-b70d-aa74646b326b","2024-12-10"
"€ 23,330.-","Volkswagen ID.4 Pure Performance Navi LED","28,660 km","06/2021","Autohaus Koch GmbH","https://www.autoscout24.com/offers/volkswagen-id-4-pure-performance-navi-led-electric-grey-ee14746c-d5db-4ed2-945d-170787dd6204","2024-12-10"
"€ 32,750.-","Volkswagen ID.4 ID.4+Performance+Upgrade+Pro","41,000 km","11/2022",NA,"https://www.autoscout24.com/offers/volkswagen-id-4-id-4-performance-upgrade-pro-electric-black-410990b7-c159-42eb-ba7e-66e7c76d0c72","2024-12-10"
"€ 26,491.-","Volkswagen ID.4 Pro Performance Navi AHK Rückfahrkamera Wär","78,285 km","11/2021","Volkswagen Automobile Rhein-Neckar GmbH","https://www.autoscout24.com/offers/volkswagen-id-4-pro-performance-navi-ahk-rueckfahrkamera-waer-electric-grey-8867f73e-2b2b-47fb-b92c-8ad22e8ea111","2024-12-10"
"€ 29,930.-","Volkswagen ID.4 Pure Performance LED Carplay ACC VerkZErk","13,400 km","11/2023","BaderMainzl GmbH & Co. KG","https://www.autoscout24.com/offers/volkswagen-id-4-pure-performance-led-carplay-acc-verkzerk-electric-white-f2d63129-fc37-442d-a1cc-9c19275cbe5d","2024-12-10"
"€ 37,790.-","Volkswagen ID.4 GTX 4Motion 220 kW 1-Gang-Automatik","21,632 km","07/2023","Autohaus Lacher GmbH & Co. KG","https://www.autoscout24.com/offers/volkswagen-id-4-gtx-4motion-220-kw-1-gang-automatik-electric-white-23f626e9-d7e2-4581-9e1a-aadd365ae319","2024-12-10"
"€ 25,290.-","Volkswagen ID.4 Pure Performance 52kWh AHK+NAVI+AMBIENTE-BEL.","26,295 km","09/2021","Autohaus Ihle GmbH","https://www.autoscout24.com/offers/volkswagen-id-4-pure-performance-52kwh-ahk-navi-ambiente-bel-electric-grey-257578cd-ea4c-4da9-bb3b-05b80a3b8195","2024-12-10"
"€ 24,490.-","Volkswagen ID.4 Pure","26,500 km","09/2021",NA,"https://www.autoscout24.com/offers/volkswagen-id-4-pure-electric-grey-bb5b62a1-feb1-4132-b32b-0c52a62e2f3f","2024-12-10"
"€ 22,960.-","Volkswagen ID.4 ID.4 Pure City LED+NAVI+PDC+SHZ+ACC+++++++++++++","58,200 km","04/2021","HUK-COBURG Autowelt GmbH","https://www.autoscout24.com/offers/volkswagen-id-4-id-4-pure-city-led-navi-pdc-shz-acc-electric-grey-73cf65ab-86ca-4391-a8b6-650f1dbf46d7","2024-12-10"
"€ 29,450.-","Volkswagen ID.4 Pro Performance NAVI LED ACC PDC SPURH SHZ","29,948 km","03/2022","Autohaus Adelbert Moll GmbH & Co. KG","https://www.autoscout24.com/offers/volkswagen-id-4-pro-performance-navi-led-acc-pdc-spurh-shz-electric-white-8c022729-37c4-4b50-85a4-355a6b8b0e96","2024-12-10"
"€ 22,780.-","Volkswagen ID.4 Pure LED Navi PDC vo+hi DAB","22,690 km","09/2021","Autohaus Glinicke GmbH","https://www.autoscout24.com/offers/volkswagen-id-4-pure-led-navi-pdc-vo-hi-dab-electric-grey-33065ad8-5155-4fa6-a0df-2cfaa35ddc6e","2024-12-10"
"€ 23,290.-","Volkswagen ID.4 Pro Performance Aut. LED Navi AHK PDC","82,000 km","12/2021","R.S. Automobile GmbH","https://www.autoscout24.com/offers/volkswagen-id-4-pro-performance-aut-led-navi-ahk-pdc-electric-grey-ead72904-1f70-4a40-bf78-2163968840e8","2024-12-10"
"€ 26,490.-","Volkswagen ID.4 Pro Performance Business Matrix WP Navi SHZ","76,000 km","10/2021","R.S. Automobile GmbH","https://www.autoscout24.com/offers/volkswagen-id-4-pro-performance-business-matrix-wp-navi-shz-electric-white-8a693fd8-6084-4382-ae0a-822b3ece9bbb","2024-12-10"
